STATE_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE,COST_PER_KM,COMPLETION_RATE_ROAD,COMPLETION_RATE_BRIDGES,EXPENDITURE_PER_KM
Bihar,PMGSY-III,37,280.783,20,292.60964,20,159.775,0,141.5729,17,119.929,20,1.0421202138306094,0.5690337377975162,0.0,0.8860766703176342
Bihar,PMGSY-I,1171,3031.293,54,1425.8857,1146,2922.406,51,1257.7834,25,79.142,3,0.4703886097450824,0.9640790250233151,0.9444444444444444,0.43039310759695953
Bihar,PMGSY-II,20,141.465,3,94.72322,20,141.295,3,99.1389,0,0.0,0,0.6695876718622981,0.998798289329516,1.0,0.7016447857319793
Bihar,RCPLWEA,26,290.228,8,299.64982,20,247.394,3,224.512,6,37.9,5,1.0324635114461733,0.852412585966895,0.375,0.907507861952998
Bihar,PMGSY-III,23,174.673,3,113.70823,20,136.901,0,54.0431,3,22.111,3,0.6509777126401906,0.7837559325138974,0.0,0.3947604473305527
Bihar,PMGSY-I,273,1150.732,3,636.65499,273,1137.65,3,615.0024,0,0.0,0,0.5532608722100367,0.988631584069966,1.0,0.5405901639344262
Bihar,PMGSY-II,5,27.145,0,13.59418,5,27.145,0,14.1035,0,0.0,0,0.5007986737889114,1.0,0.0,0.5195616135568245
Bihar,PMGSY-III,16,142.893,0,105.83215,13,112.81,0,81.0952,3,29.3,0,0.740639149573457,0.7894718425675156,0.0,0.7188653488165944
Bihar,PMGSY-I,284,562.569,3,250.34601,281,548.744,3,222.4337,3,5.051,0,0.44500498605504396,0.9754252367265173,1.0,0.4053505824209467
Bihar,PMGSY-II,5,36.965,0,13.50654,5,36.741,0,17.5317,0,0.0,0,0.36538725821723245,0.9939402137156769,0.0,0.4771699191638769
Bihar,PMGSY-III,5,46.094,0,26.11107,0,10.747,0,9.5534,5,35.347,0,0.5664743784440491,0.23315398967327633,0.0,0.8889364473806644
Bihar,PMGSY-I,541,1846.65,54,1010.15891,529,1765.73,52,889.2805,12,41.858,2,0.5470223973140551,0.9561801099287899,0.9629629629629629,0.5036333414508447
Bihar,PMGSY-II,9,52.865,0,28.64995,9,52.865,0,29.6689,0,0.0,0,0.5419455216116523,1.0,0.0,0.5612200889057032
Bihar,RCPLWEA,22,414.657,18,549.95709,14,346.487,18,434.9403,8,66.206,0,1.3262939972073304,0.8355990613929104,1.0,1.25528605690834
Bihar,PMGSY-III,3,18.262,0,9.85921,2,13.171,0,5.703,1,5.091,0,0.5398756981710655,0.7212244003942613,0.0,0.43299673525168936
Bihar,PMGSY-I,524,2093.072,3,953.02647,520,2014.829,3,820.5947,4,25.25,0,0.45532426500378387,0.9626181039161577,1.0,0.4072775903066712
Bihar,PMGSY-II,5,41.47,0,25.4849,5,40.77,0,23.0513,0,0.0,0,0.6145382204002894,0.9831203279479143,0.0,0.5653985773853324
Bihar,PMGSY-III,13,140.607,2,109.74506,10,98.59,0,39.0332,3,42.015,2,0.7805092207358098,0.7011741947413713,0.0,0.3959143929404605
Bihar,PMGSY-I,378,1363.269,52,803.89291,374,1312.976,44,762.8622,4,2.065,8,0.5896803272134846,0.963108528104138,0.8461538461538461,0.5810176271310367
Bihar,PMGSY-II,8,77.1,2,38.80552,8,75.81,2,39.6028,0,0.0,0,0.5033141374837874,0.9832684824902724,1.0,0.5223954623400607
Bihar,PMGSY-III,41,403.087,107,787.94374,10,151.214,1,192.1579,31,249.045,106,1.9547733863905312,0.37513985814476775,0.009345794392523364,1.2707679183144418
Bihar,PMGSY-I,181,595.22,32,434.92495,175,544.023,30,393.8085,6,14.129,2,0.7306961291623265,0.9139864251873256,0.9375,0.7238820785150627
Bihar,PMGSY-II,3,14.967,0,6.5288,3,14.952,0,7.004,0,0.0,0,0.43621300193759605,0.9989977951493285,0.0,0.4684323167469235
Bihar,PMGSY-III,3,26.09,0,19.73818,2,19.91,0,12.0933,1,6.18,0,0.7565419701034879,0.7631276351092373,0.0,0.6073982923154193
Bihar,PMGSY-I,305,1251.501,101,895.2539,305,1222.233,100,824.0513,0,0.0,1,0.7153441347629766,0.9766136822903058,0.9900990099009901,0.6742178455335439
Bihar,PMGSY-II,25,263.67,41,256.1152,25,260.965,41,278.6794,0,0.0,0,0.9713475177304964,0.9897409640838926,1.0,1.0678803670990362
Bihar,PMGSY-III,60,511.419,89,762.93691,11,92.807,0,65.6631,49,415.69,89,1.4918040002424626,0.18146959733603954,0.0,0.7075231394183629
Bihar,PMGSY-I,202,534.825,10,205.25149,191,480.622,10,180.5965,11,33.671,0,0.383773178142383,0.8986528303650726,1.0,0.37575579145357474
Bihar,PMGSY-II,5,47.055,0,20.2212,5,47.055,0,20.3086,0,0.0,0,0.4297354160025502,1.0,0.0,0.4315928169163744
Bihar,RCPLWEA,1,16.415,0,14.40069,1,16.415,0,10.292,0,0.0,0,0.8772884556807798,1.0,0.0,0.6269875114224794
Bihar,PMGSY-III,1,5.858,0,2.35617,1,5.858,0,1.7734,0,0.0,0,0.4022140662342097,1.0,0.0,0.30273130761352
Bihar,PMGSY-I,238,784.482,18,503.51779,235,754.106,17,434.6938,3,2.025,1,0.6418474738744803,0.9612789076103723,0.9444444444444444,0.5764359387141861
Bihar,PMGSY-II,10,59.065,0,31.9513,10,58.624,0,31.9613,0,0.0,0,0.5409514941166511,0.992533649369339,0.0,0.5451913891921397
Bihar,PMGSY-III,34,359.093,23,428.98463,19,250.617,7,261.6011,15,107.238,16,1.1946337856766909,0.6979166956749365,0.30434782608695654,1.0438282319236125
Bihar,PMGSY-I,724,2100.652,33,1425.08428,718,1862.882,32,1055.0466,6,6.235,1,0.678400934566982,0.8868113328623685,0.9696969696969697,0.5663518140172056
Bihar,PMGSY-II,12,85.31,0,38.44442,12,84.653,0,39.0325,0,0.0,0,0.45064376978079945,0.9922986754190599,0.0,0.461088207151548
Bihar,PMGSY-III,20,212.08,14,234.33669,9,101.178,0,84.0323,11,108.51,14,1.1049447849867975,0.47707468879668047,0.0,0.8305392476625354
Bihar,PMGSY-I,185,457.382,3,204.65905,185,449.417,3,172.7916,0,0.0,0,0.44745759562029114,0.9825856723701413,1.0,0.3844794478179508
Bihar,PMGSY-II,3,23.4,0,11.3956,3,23.4,0,12.4103,0,0.0,0,0.486991452991453,1.0,0.0,0.5303547008547008
Bihar,PMGSY-III,3,21.864,0,16.2629,3,21.864,0,9.8629,0,0.0,0,0.7438208927918037,1.0,0.0,0.4511022685693377
Bihar,PMGSY-I,761,2398.417,12,1350.30879,759,2324.26,12,1211.2526,2,6.824,0,0.5630000079218919,0.9690808562481005,1.0,0.5211347267517403
Bihar,PMGSY-II,6,30.699,0,13.00032,6,30.44,0,10.4769,0,0.0,0,0.4234769862210495,0.9915632431023812,0.0,0.3441819973718791
Bihar,RCPLWEA,25,358.548,16,521.57931,24,350.921,12,527.3682,1,2.428,4,1.4546987014290973,0.9787280921940716,0.75,1.5028117439537674
Bihar,PMGSY-III,40,290.767,13,260.62108,36,263.384,0,171.9284,4,24.87,13,0.8963227601481599,0.9058249388685787,0.0,0.6527670625398657
Bihar,PMGSY-I,431,1285.064,9,563.77684,429,1263.466,9,509.8993,2,1.59,0,0.43871499007053344,0.9831930549762501,1.0,0.40357184126838397
Bihar,PMGSY-II,23,138.2,0,72.56586,23,137.158,0,73.689,0,0.0,0,0.5250785817655572,0.9924602026049204,0.0,0.5372563029498826
Bihar,PMGSY-III,17,116.3,8,73.32436,15,114.463,5,53.9718,2,0.06,3,0.6304760103181427,0.9842046431642304,0.625,0.4715218018049501
Bihar,PMGSY-I,680,1669.35,30,938.50001,675,1609.646,29,793.7855,5,9.88,1,0.5621948722556684,0.9642351813580137,0.9666666666666667,0.4931429022281918
Bihar,PMGSY-II,15,77.242,0,48.98508,15,77.203,0,52.1168,0,0.0,0,0.6341767432225991,0.9994950933429999,0.0,0.6750618499281116
Bihar,RCPLWEA,17,217.44,10,278.48476,16,201.829,10,211.4739,1,2.55,0,1.2807430095658572,0.9282054819720383,1.0,1.0477874834637242
Bihar,PMGSY-III,2,15.775,0,10.59852,2,15.333,0,6.4936,0,0.0,0,0.671855467511886,0.9719809825673534,0.0,0.42350485880127825
Bihar,PMGSY-I,631,1733.216,19,879.30644,626,1641.799,19,768.5342,5,14.906,0,0.5073265190259033,0.9472558527038754,1.0,0.4681049263643114
Bihar,PMGSY-II,15,110.76,0,43.94972,14,109.75,0,49.6181,1,0.3,0,0.3968013723365836,0.9908811845431563,0.0,0.452101138952164
Bihar,PMGSY-III,12,79.365,1,58.34448,8,52.26,0,34.5459,4,26.1,1,0.7351411831411832,0.6584766584766585,0.0,0.6610390355912745
Bihar,PMGSY-I,552,2109.04,70,1339.97388,545,2076.413,60,1202.6169,7,1.262,10,0.6353477790843227,0.9845299283086144,0.8571428571428571,0.5791800089866515
Bihar,PMGSY-II,20,153.668,0,89.62053,20,153.54,0,95.2989,0,0.0,0,0.5832088007913163,0.9991670354270245,0.0,0.6206779992184448
Bihar,PMGSY-III,32,318.905,70,486.18239,18,176.084,34,321.9531,14,139.095,36,1.52453674291717,0.5521518947648987,0.4857142857142857,1.8284063287976193
Bihar,PMGSY-I,686,2130.185,3,938.85127,682,2018.533,3,891.0633,4,21.156,0,0.4407369641603898,0.9475857730666585,1.0,0.4414410366340308
Bihar,PMGSY-II,4,46.08,0,26.1661,4,46.08,0,24.2488,0,0.0,0,0.5678407118055556,1.0,0.0,0.5262326388888889
Bihar,RCPLWEA,22,89.77,2,97.69917,20,85.905,2,74.7594,2,3.625,0,1.0883276150161525,0.9569455274590621,1.0,0.8702566788894709
Bihar,PMGSY-III,13,104.417,0,68.52202,7,80.757,0,37.9537,6,23.66,0,0.6562343296589636,0.7734085445856518,0.0,0.4699741198905357
Bihar,PMGSY-I,256,714.202,43,558.70765,253,653.708,38,509.8388,3,14.517,5,0.7822823934965177,0.9152984729810333,0.8837209302325582,0.7799182509622034
Bihar,PMGSY-II,4,27.07,0,20.56356,4,27.07,0,19.5607,0,0.0,0,0.7596438862209087,1.0,0.0,0.722596970816402
Bihar,PMGSY-III,8,77.25,12,94.53203,2,31.96,5,44.368,6,45.29,7,1.2237155987055017,0.41372168284789645,0.4166666666666667,1.388235294117647
Bihar,PMGSY-I,671,1881.119,9,970.37297,665,1839.759,7,603.738,6,12.365,2,0.5158487953181059,0.9780130868913663,0.7777777777777778,0.32816146027822124
Bihar,PMGSY-II,8,61.95,0,25.77853,8,61.95,0,27.4861,0,0.0,0,0.41611832122679576,1.0,0.0,0.443682001614205
Bihar,PMGSY-III,18,152.698,10,136.16185,12,101.39,0,78.3382,6,49.901,10,0.8917068330953908,0.6639903600571061,0.0,0.772642272413453
Bihar,PMGSY-I,122,327.671,9,146.68576,120,295.014,9,143.5247,2,6.0,0,0.44766170945857275,0.9003360077638851,1.0,0.48650131858149104
Bihar,PMGSY-II,5,18.25,1,7.24144,5,18.171,1,8.038,0,0.0,0,0.3967912328767123,0.9956712328767123,1.0,0.44235320015409174
Bihar,PMGSY-III,1,5.035,0,2.85845,1,4.97,0,2.4786,0,0.0,0,0.5677159880834161,0.9870903674280039,0.0,0.49871227364185117
Bihar,PMGSY-I,112,338.835,1,186.8218,106,305.08,1,162.2062,6,8.292,0,0.551365118715599,0.9003792406333466,1.0,0.5316841484200866
Bihar,PMGSY-III,8,57.295,7,61.70031,4,45.02,5,49.4887,4,9.685,2,1.0768882101405008,0.7857579195392268,0.7142857142857143,1.099260328742781
Bihar,PMGSY-I,651,1755.151,111,1383.7902,641,1696.695,110,1209.189,10,12.216,1,0.7884166091692395,0.9666946034842585,0.990990990990991,0.7126731675404242
